iata_code,airport_name,city,state,latitude,longitude
ABE,Lehigh Valley International Airport,Allentown/Bethlehem,PA,40.651773,-75.442797
ABI,Abilene Regional Airport,Abilene,TX,32.4113006592,-99.6819000244
ABQ,Albuquerque International Sunport,Albuquerque,NM,35.039976,-106.608925
ABR,Aberdeen Regional Airport,Aberdeen,SD,45.4491004944,-98.4217987061
ACK,Nantucket Memorial Airport,Nantucket,MA,41.25310135,-70.06020355
ACT,Waco Regional Airport,Waco,TX,31.6112995148,-97.2304992676
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,CA,40.978101,-124.109
ACY,Atlantic City International Airport,Atlantic City,NJ,39.456201,-74.577511
ADK,Adak Airport,Adak,AK,51.883564,-176.642783
ADQ,Kodiak Airport,Kodiak,AK,57.75,-152.4940033
AEX,Alexandria International Airport,Alexandria,LA,31.325828,-92.546702
AGS,Augusta Regional At Bush Field,Augusta,GA,33.3699,-81.9645
AKN,King Salmon Airport,King Salmon,AK,58.677845,-156.651965
ALB,Albany International Airport,Albany,NY,42.748299,-73.801697
ALO,Waterloo Regional Airport,Waterloo,IA,42.5570984,-92.4002991
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,35.217857,-101.706444
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,61.179004,-149.992561
APN,Alpena County Regional Airport,Alpena,MI,45.0780983,-83.56030273
ASE,Aspen-Pitkin County Airport (Sardy Field),Aspen,CO,39.223202,-106.869003
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.6367,-84.428101
ATW,Appleton International Airport,Appleton,WI,44.258515,-88.519
ATY,Watertown Regional Airport,Watertown,SD,44.9140015,-97.1547012
AUS,Austin-Bergstrom International Airport,Austin,TX,30.197535,-97.662015
AVL,Asheville Regional Airport,Asheville,NC,35.435488,-82.541853
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,41.337064,-75.724232
AZA,Mesa Gateway Airport,Mesa,AZ,33.3078,-111.654999
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,42.232105,-85.549637
BDL,Bradley International Airport,Hartford,CT,41.938555,-72.688016
BET,Bethel Airport,Bethel,AK,60.7798004,-161.8379974
BFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,NE,41.8740006,-103.5960007
BFL,Meadows Field,Bakersfield,CA,35.433601,-119.056999
BGM,Greater Binghamton/Edwin A Link field,Binghamton,NY,42.2086983,-75.9797974
BGR,Bangor International Airport,Bangor,ME,44.806364,-68.826668
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,33.562877,-86.750712
BIH,Eastern Sierra Regional Airport,Bishop,CA,37.3731,-118.363998
BIL,Billings Logan International Airport,Billings,MT,45.808932,-108.541242
BIS,Bismarck Municipal Airport,Bismarck,ND,46.772734,-100.746874
BJI,Bemidji Regional Airport,Bemidji,MN,47.5093994,-94.9337006
BLI,Bellingham International Airport,Bellingham,WA,48.7928009,-122.538002
BLV,Scott AFB/Midamerica Airport,Belleville,IL,38.5452,-89.835197
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington/Normal,IL,40.4771,-88.915901
BNA,Nashville International Airport,Nashville,TN,36.1245,-86.6782
BOI,Boise Air Terminal/Gowen Field,Boise,ID,43.5644,-116.223
BOS,Boston Logan International Airport,Boston,MA,42.36197,-71.0079
BPT,Jack Brooks Regional Airport,Beaumont/Port Arthur,TX,29.9508,-94.020699
BQN,Rafael Hernández International Airport,Aguadilla,PR,18.4949,-67.129402
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,46.402861,-94.129727
BRO,Brownsville South Padre Island International Airport,Brownsville,TX,25.907238,-97.425235
BRW,Wiley Post Will Rogers Memorial Airport,Utqiaġvik,AK,71.285402,-156.766008
BTM,Bert Mooney Airport,Butte,MT,45.9548,-112.497002
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,30.533199,-91.149597
BTV,Patrick Leahy Burlington International Airport,Burlington,VT,44.471901,-73.153297
BUF,Buffalo Niagara International Airport,Buffalo,NY,42.940498,-78.732201
BUR,Hollywood Burbank/Bob Hope Airport,Burbank,CA,34.202834,-118.35805
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,MD,39.1754,-76.668297
BZN,Bozeman Yellowstone International Airport,Bozeman,MT,45.778853,-111.153711
CAE,Columbia Metropolitan Airport,Columbia,SC,33.938172,-81.123022
CAK,Akron Canton Regional Airport,Akron,OH,40.9161,-81.4422
CDC,Cedar City Regional Airport,Cedar City,UT,37.701,-113.099
CDV,Merle K (Mudhole) Smith Airport,Cordova,AK,60.491798,-145.477997
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,35.035301,-85.203796
CHO,Charlottesville Albemarle Airport,Charlottesville,VA,38.138599,-78.452904
CHS,Charleston International Airport,Charleston,SC,32.896159,-80.038151
CID,The Eastern Iowa Airport,Cedar Rapids,IA,41.884701,-91.7108
CIU,Chippewa County International Airport,Kincheloe,MI,46.242038,-84.462082
CKB,North Central West Virginia Airport,Bridgeport,WV,39.2966,-80.228104
CLD,McClellan-Palomar Airport,Carlsbad,CA,33.1283,-117.279999
CLE,Cleveland Hopkins International Airport,Cleveland,OH,41.411701,-81.8498
CLL,Easterwood Field,College Station,TX,30.5886,-96.3638
CLT,Charlotte Douglas International Airport,Charlotte,NC,35.214001,-80.9431
CMH,John Glenn Columbus International Airport,Columbus,OH,39.998001,-82.891899
CMI,University of Illinois Willard Airport,Savoy,IL,40.039819,-88.276249
CMX,Houghton County Memorial Airport,Hancock,MI,47.1684,-88.489098
COD,Yellowstone Regional Airport,Cody,WY,44.520199,-109.024002
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,38.805801,-104.700996
COU,Columbia Regional Airport,Columbia,MO,38.8181,-92.219597
CPR,Casper-Natrona County International Airport,Casper,WY,42.907381,-106.461609
CRP,Corpus Christi International Airport,Corpus Christi,TX,27.770399,-97.501198
CRW,Yeager Airport,Charleston,WV,38.3731,-81.593201
CSG,Columbus Airport,Columbus,GA,32.516415,-84.939602
CVG,Cincinnati Northern Kentucky International Airport,Cincinnati / Covington,KY,39.048801,-84.667801
CWA,Central Wisconsin Airport,Mosinee,WI,44.777448,-89.670238
CYS,Cheyenne Regional Jerry Olson Field,Cheyenne,WY,41.155701,-104.811997
DAB,Daytona Beach International Airport,Daytona Beach,FL,29.18255,-81.059464
DAL,Dallas Love Field,Dallas,TX,32.844776,-96.847653
DAY,James M. Cox Dayton International Airport,Dayton,OH,39.902401,-84.219398
DCA,Ronald Reagan Washington National Airport,Washington,DC,38.8521,-77.037697
DDC,Dodge City Regional Airport,Dodge City,KS,37.763401,-99.965599
DEC,Decatur Airport,Decatur,IL,39.834599,-88.8657
DEN,Denver International Airport,Denver,CO,39.860027,-104.673792
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,TX,32.896801,-97.038002
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,46.797533,-102.801905
DLG,Dillingham Airport,Dillingham,AK,59.044701,-158.505005
DLH,Duluth International Airport,Duluth,MN,46.841873,-92.198746
DRO,Durango La Plata County Airport,Durango,CO,37.151501,-107.753998
DSM,Des Moines International Airport,Des Moines,IA,41.534027,-93.656719
DTW,Detroit Metropolitan Wayne County Airport,Detroit,MI,42.21377,-83.353786
DVL,Devils Lake Regional Airport,Devils Lake,ND,48.115454,-98.908796
EAR,Kearney Regional Airport,Kearney,NE,40.727001,-99.006798
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,44.865799,-91.484299
ECP,Northwest Florida Beaches International Airport,Panama City Beach,FL,30.357106,-85.795414
EGE,Eagle County Regional Airport,Eagle,CO,39.642601,-106.917999
EKO,Elko Regional Airport,Elko,NV,40.824902,-115.791999
ELM,Elmira Corning Regional Airport,Elmira/Corning,NY,42.159901,-76.891602
ELP,El Paso International Airport,El Paso,TX,31.809908,-106.375607
ERI,Erie International Tom Ridge Field,Erie,PA,42.083127,-80.173867
ESC,Delta County Airport,Escanaba,MI,45.723199,-87.088623
EUG,Eugene Airport,Eugene,OR,44.124599,-123.211998
EVV,Evansville Regional Airport,Evansville,IN,38.036999,-87.532402
EWR,Newark Liberty International Airport,Newark,NJ,40.6894,-74.170545
EYW,Key West International Airport,Key West,FL,24.556119,-81.759579
FAI,Fairbanks International Airport,Fairbanks,AK,64.815102,-147.856003
FAR,Hector International Airport,Fargo,ND,46.9207,-96.815804
FAT,Fresno Yosemite International Airport,Fresno,CA,36.775767,-119.718018
FAY,Fayetteville Regional Airport - Grannis Field,Fayetteville,NC,34.991199,-78.880302
FCA,Glacier Park International Airport,Kalispell,MT,48.310501,-114.255997
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,35.139757,-111.669826
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,FL,26.072599,-80.152702
FMN,Four Corners Regional Airport,Farmington,NM,36.741199,-108.230003
FNT,Bishop International Airport,Flint,MI,42.969294,-83.743355
FOD,Fort Dodge Regional Airport,Fort Dodge,IA,42.552624,-94.191237
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,43.585463,-96.741152
FSM,Fort Smith Regional Airport,Fort Smith,AR,35.336601,-94.367401
FWA,Fort Wayne International Airport,Fort Wayne,IN,40.978896,-85.194465
GCC,Northeast Wyoming Regional Airport,Gillette,WY,44.3489,-105.539001
GCK,Garden City Regional Airport,Garden City,KS,37.927502,-100.724
GEG,Spokane International Airport,Spokane,WA,47.6199,-117.533997
GFK,Grand Forks International Airport,Grand Forks,ND,47.949299,-97.176102
GGG,East Texas Regional Airport,Longview,TX,32.383999,-94.711502
GJT,Grand Junction Regional Airport,Grand Junction,CO,39.126663,-108.529387
GNV,Gainesville Regional Airport,Gainesville,FL,29.6901,-82.271797
GPT,Gulfport Biloxi International Airport,Gulfport,MS,30.405582,-89.069836
GRB,Austin Straubel International Airport,Green Bay,WI,44.483459,-88.130805
GRI,Central Nebraska Regional Airport,Grand Island,NE,40.967499,-98.309601
